"202108161703","Data Movement Form updated.","Data Movement Form updated.","gs/data-movement-form.docx","2021-08-16 17:03:00 BST"
"202108161704","Clarification for accessing MoJ IT systems overseas.","Additional information describing the process.","accessing-moj-it-systems-from-overseas/","2021-08-16 17:04:00 BST"
"202108170926","Provide offline version of Group Security content.","Created PDF and eBook versions of the security policy and guidance subset for Group Security.","#offline-content","2021-08-17 09:26:00 BST"
"202108181517","Add change log page.","Created a change log page, and associated RSS and Atom feeds, to describe new or changed content.","changelog/","2021-08-18 15:17:00 BST"
"202108201414","Update to general apps guidance.","Add Trello guidance, and clarification over Official and Official Sensitive material in apps.","general-user-video-and-messaging-apps-guidance/#approved-tools","2021-08-20 14:14:00 BST"
"202109021516","Extra guidance on remote working.","Additional best practices for keeping safe and secure when working away from the office.","remote-working/","2021-09-02 15:16:00 BST"
"202109060921","National Security Vetting contacts.","Information on the role and registration process.","national-security-vetting-contact/","2021-09-06 09:21 BST"
"202109131721","Government Security Standard 007 V2","Updates following the release of V2 of the Gov007 security standard.","#background","2021-09-13 17:21 BST"
"202110011507","Personal device attachment","Clarifying the connection of personal peripherals, and the charging of personal devices from USB ports.","personal-devices/","2021-10-01 15:07 BST"
"202110011524","Connection to public wifi","Clarification about connecting to public wifi spots, such as hotels or coffee shops, or home broadband. Also extra details for remote working securely.","remote-working/#using-public-wifi-or-internet-and-home-broadband","2021-10-01 15:24 BST"
"202110051428","Client certificates","Added notes about obtaining client certificates.","automated-certificate-renewal/#using-public-wifi-or-internet-and-home-broadband","2021-10-05 14:28 BST"
"202110080956","Wifi policy","Added policy information about wifi.","wifi-security-policy/","2021-10-08 09:56 BST"
"202110130926","User clearance requirements","Clarification to minimum user clearance requirements.","minimum-user-clearance-requirements-guide/","2021-10-13 09:26 BST"
"202110131550","IT Health Checks","Added guidance on requesting and managing IT Health Checks.","ost/ithc/","2021-10-13 15:50 BST"
"202110141347","Azure subscription baselines","Added guidance on baselines and templates for Azure subscriptions.","baseline-for-azure-accounts/","2021-10-14 13:47 BST"
"202110151339","Security clearance appeals procedures","Added guidance for appealing a security clearance decision.","security-clearance-appeals-procedures/","2021-10-15 13:39 BST"
"202110151627","Email best practices","Added guidance regarding attachments and the use of 'cc' and 'bcc' fields in emails.","email/","2021-10-15 16:27 BST"
"202110191306","Remote working","Simplified the guidance regarding remote working.","remote-working/","2021-10-19 13:06 BST"
"202110200953","National Security Vetting contacts","Updates to the process and information for National Security Vetting contacts.","national-security-vetting-contact/","2021-10-20 09:53 BST"
"202110291152","Logging retention","Information about keeping logging information.","logging-and-monitoring/","2021-10-29 11:52 BST"
"202111031700","Domain names","An overview of domain name registration and monitoring principles and responsibilities within the MoJ.","domain-names-policy/","2021-11-03 17:00 GMT"
"202111031712","Email blocking","The policy and processes for blocking emails, and deleting emails through administrative processes, across email services across the  MoJ.","email-blocklist-policy/","2021-11-03 17:12 GMT"
"202111040905","Working securely with paper documents and files","This guidance helps you understand the risks involved in working with, sharing, and moving paper documents both inside and outside the office.","working-securely-with-paper-documents-and-files/","2021-11-04 09:05 GMT"
"202111041028","CCTV Policy","This policy details the purpose, usage, and management of the CCTV systems within the MoJ.","cctv-policy/","2021-11-04 10:28 GMT"
"202111081730","System backup policy","Corrected broken links within the content, also some structural changes for easier cross-referencing with related topics.","system-backup-policy/","2021-11-08 17:30 GMT"
"202111091537","Acceptable use policy","Provide more detail on monitoring of systems and information, and to clarify the situation regarding Data Protection and the storage or processing of information outside the UK.","acceptable-use-policy/","2021-11-09 15:37 GMT"
"202111171707","Personal devices","Updated guidance about using a personal device to connect to a business Teams meeting as a Guest.","personal-devices/#guidance","2021-11-17 17:07 GMT"
"202111181703","Protests and demonstrations","Policy and guidance on public protests and demonstrations.","public-protest-and-demonstrations-policy/","2021-11-18 17:03 GMT"
"202111191009","Sending information securely","Guidance on working securely with paper documents and files.","sending-information-securely/","2021-11-19 10:09 GMT"
"202111191429","Security in the office","Key security points for working in a Ministry of Justice location.","security-in-the-office/","2021-11-19 14:29 GMT"
"202111191522","Other guidance and security.txt","Improved structure for other guidance information, and added security.txt file.","#other-guidance","2021-11-19 15:22 GMT"
"202111221414","Government Classification Scheme","Updated and consolidated guidance on classification of Government information.","government-classification-scheme/","2021-11-22 14:14 GMT"
"202111221623","MFA","Clarified guidance on sending one-time MFA codes only to individual devices or accounts, not to shared devices or accounts.","multi-factor-authentication-mfa-guide/#mfa","2021-11-22 16:23 GMT"
"202111301354","Personal Devices","Clarified guidance on connecting personal devices using Bluetooth, and added new section on connected vehicles.","personal-devices/","2021-11-30 13:54 GMT"
